Question,Answer
where was woodrow wilson born,staunton virginia
did wilson support desegregation,no
did wilson support desegregation,not in the slightest
did wilson support the committee system,no
did wilson have any siblings,yes
what was scotsirish and scottish,his ancestry
what defended slavery owned slaves and s08set up a sunday school for them,his father
who did wilson win in 1917,irish americans
was wilson awarded the 1919 nobel peace prize,yes
was wilson a remarkably effective writer and thinker,yes
what lived in columbia,wilson
was wilson president of the american political science association in 1910,yes
did he not cast his ballot for john m palmer  the presidential candidate of the national democratic party  or gold democrats  a shortlived party that supported a gold standard  low tariffs  and limited government,yes
did wilson not spend 1914 through the beginning of 1917 trying to keep america out of the war in europe,yes
was wilson  a staunch opponent of antisemitism  sympathetic to the plight of jews  especially in poland and in france,yes
what happened in 1917,raised billions through liberty loans imposed an income tax s08set up the war industries board promoted labor union growth supervised agriculture and food production through the lever act took over control of the railroads and suppressed antiwar movements
